role,method_a,method_b,spearman_rank_correlation
MID,pca_loading,entropy,1.0
MID,pca_loading,equal,1.0
MID,pca_loading,pca_loading,1.0
MID,pca_loading,stability_adjusted,0.999694423223835
MID,stability_adjusted,ensemble_candidate,0.999694423223835
MID,stability_adjusted,entropy,0.999694423223835
MID,stability_adjusted,equal,0.999694423223835
MID,stability_adjusted,pca_loading,0.999694423223835
MID,stability_adjusted,stability_adjusted,1.0
WINGER,ensemble_candidate,ensemble_candidate,1.0
WINGER,ensemble_candidate,entropy,0.9976923076923077
WINGER,ensemble_candidate,equal,0.9976923076923077
WINGER,ensemble_candidate,pca_loading,0.9976923076923077
WINGER,ensemble_candidate,stability_adjusted,0.9992307692307693
WINGER,entropy,ensemble_candidate,0.9976923076923077
WINGER,entropy,entropy,1.0
WINGER,entropy,equal,1.0
WINGER,entropy,pca_loading,1.0
WINGER,entropy,stability_adjusted,0.9984615384615385
WINGER,equal,ensemble_candidate,0.9976923076923077
WINGER,equal,entropy,1.0
WINGER,equal,equal,1.0
WINGER,equal,pca_loading,1.0
WINGER,equal,stability_adjusted,0.9984615384615385
WINGER,pca_loading,ensemble_candidate,0.9976923076923077
WINGER,pca_loading,entropy,1.0
WINGER,pca_loading,equal,1.0
WINGER,pca_loading,pca_loading,1.0
WINGER,pca_loading,stability_adjusted,0.9984615384615385
WINGER,stability_adjusted,ensemble_candidate,0.9992307692307693
WINGER,stability_adjusted,entropy,0.9984615384615385
WINGER,stability_adjusted,equal,0.9984615384615385
WINGER,stability_adjusted,pca_loading,0.9984615384615385
WINGER,stability_adjusted,stability_adjusted,1.0
