role,criterion,status,readiness_status,production_ready_allowed,reason
FB,enough_matches,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,enough_competitions,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,enough_seasons,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,metric_coverage_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,temporal_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,cross_season_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,cross_competition_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,rank_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,confidence_interval_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,team_context_bias_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,population_drift_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,expert_review_completed_or_pending,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,metric_direction_reviewed,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,no_critical_data_quality_issue,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,enough_eligible_players,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,enough_matches,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,enough_competitions,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,enough_seasons,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,metric_coverage_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,temporal_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,cross_season_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,cross_competition_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,rank_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,confidence_interval_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,team_context_bias_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,population_drift_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,expert_review_completed_or_pending,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,metric_direction_reviewed,FAIL,Research Prototype,False,full_population_data_readiness_failed
MID,no_critical_data_quality_issue,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,enough_eligible_players,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,enough_matches,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,enough_competitions,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,enough_seasons,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,metric_coverage_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,temporal_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,cross_season_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,cross_competition_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,rank_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,confidence_interval_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,team_context_bias_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,population_drift_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,expert_review_completed_or_pending,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,metric_direction_reviewed,FAIL,Research Prototype,False,full_population_data_readiness_failed
WINGER,no_critical_data_quality_issue,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,enough_eligible_players,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,enough_matches,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,enough_competitions,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,enough_seasons,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,metric_coverage_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,temporal_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,cross_season_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,cross_competition_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,rank_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,confidence_interval_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,team_context_bias_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,population_drift_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,expert_review_completed_or_pending,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,metric_direction_reviewed,FAIL,Research Prototype,False,full_population_data_readiness_failed
CF,no_critical_data_quality_issue,FAIL,Research Prototype,False,full_population_data_readiness_failed
