role,dimension_name,number_of_metrics,average_stability,explained_variance,bootstrap_stability,pca_contribution,redundancy_penalty,small_sample_penalty,raw_dimension_weight,adjusted_dimension_weight,confidence_level,warning_flags
FB,FB_D1,1,0.8689984581734526,0.300340132855603,0.0,0.0113756261015914,0.0,0.2,0.27090278175306753,0.12867513126354524,low,single_metric_dimension;small_sample;unstable_weight
FB,FB_D2,1,0.7773768814463141,0.300340132855603,0.0,0.2012871706147649,0.0,0.2,0.286895912241189,0.1362716503969289,low,single_metric_dimension;small_sample;unstable_weight
FB,FB_D3,2,0.7496699676011568,0.27811317905806976,0.0,0.37048512981259396,0.0,0.2,0.30964045399841034,0.14707499791961082,low,small_sample;unstable_weight
FB,FB_D4,1,0.645534472271692,0.300340132855603,0.0,0.2886811781690557,0.0,0.2,0.2727325355501379,0.12954423939338575,low,single_metric_dimension;small_sample;unstable_weight
FB,FB_D5,1,0.7123645277847562,0.300340132855603,0.0,0.5424708051508761,0.0,0.2,0.3395296742696373,0.1612719704160795,low,single_metric_dimension;small_sample;unstable_weight
FB,FB_D6,1,0.7953734146950974,0.300340132855603,0.0,0.4229745688911194,0.0,0.2,0.3355525598761679,0.15938289525295957,low,single_metric_dimension;small_sample;unstable_weight
FB,FB_D7,1,0.6598295674509338,0.300340132855603,0.0,0.3582124546802553,0.0,0.2,0.29006961369539574,0.1377791153574903,low,single_metric_dimension;small_sample;unstable_weight
GK,GK_D1,3,0.768913386300944,0.29736550055454436,0.0,0.5084933356984165,0.0,0.2,0.34571097996281874,0.31547104606290244,low,small_sample;unstable_weight
GK,GK_D2,1,0.9054376976697376,0.5637610478302597,0.0,0.4606409077487188,0.0,0.2,0.4221854385565328,0.385256152258395,low,single_metric_dimension;small_sample;unstable_weight
GK,GK_D3,1,0.8696538624506264,0.5637610478302597,0.0,0.0324544642753368,0.0,0.2,0.32796002940926966,0.2992728016787025,low,single_metric_dimension;small_sample;unstable_weight
MID,MID_D1,2,0.6558735303540169,0.31913966782307607,0.0,0.48893978248283626,0.0,0.0,0.39878192168268317,0.1795532754603053,low,unstable_weight
MID,MID_D2,1,0.47074712563382176,0.4408480504962457,0.0,0.4200916311626326,0.0,0.0,0.3564590581048661,0.1604972240972159,low,single_metric_dimension;unstable_weight
MID,MID_D4,1,0.3920347440401291,0.4408480504962457,0.0,0.3777465164978585,0.0,0.0,0.3222590649605648,0.14509853008453807,low,single_metric_dimension;unstable_weight
MID,MID_D5,1,0.6702185560188236,0.4408480504962457,0.0,0.193485639936574,0.0,0.0,0.35964898941385204,0.16193350438947438,low,single_metric_dimension;unstable_weight
MID,MID_D6,1,0.8162194917211144,0.4408480504962457,0.0,0.2237446621927594,0.0,0.0,0.4110140256885856,0.18506083290113268,low,single_metric_dimension;unstable_weight
MID,MID_D7,1,0.8088370057280424,0.4408480504962457,0.0,0.0797637965285114,0.0,0.0,0.372804063474602,0.1678566330673337,low,single_metric_dimension;unstable_weight
WINGER,WINGER_D1,2,0.7067979863465794,0.2906984416173122,0.0,0.47022044788975215,0.0,0.2,0.321815294624592,0.18149103135349776,low,small_sample;unstable_weight
WINGER,WINGER_D2,1,0.6950163955273111,0.361721977029293,0.0,0.4382815695746953,0.0,0.2,0.32680464424735234,0.1843048261728965,low,single_metric_dimension;small_sample;unstable_weight
WINGER,WINGER_D3,1,0.42679498978434405,0.361721977029293,0.0,0.3518755272264757,0.0,0.2,0.24515029839939628,0.1382550215490106,low,single_metric_dimension;small_sample;unstable_weight
WINGER,WINGER_D4,1,0.7725664381526439,0.361721977029293,0.0,0.3251147034605622,0.0,0.2,0.3227832812546056,0.18203693732736548,low,single_metric_dimension;small_sample;unstable_weight
WINGER,WINGER_D5,1,0.7179147226014508,0.361721977029293,0.0,0.3682246378324338,0.0,0.2,0.31828885639669363,0.17950226039799586,low,single_metric_dimension;small_sample;unstable_weight
WINGER,WINGER_D6,1,0.6812545321870446,0.361721977029293,0.0,0.0124339218858557,0.0,0.2,0.23833226750792047,0.1344099231992338,low,single_metric_dimension;small_sample;unstable_weight
