role,player_id,player_name,team,prototype_score,confidence,rank,main_positive_contributors,main_negative_contributors,instability_flags,team_context_flags,temporal_flags,review_category,why_review_needed,suggested_review_question,reviewer_decision,reviewer_comment,experiment_008_status
CB,138998,Abdellah Khafifi,Raja Casablanca,54.03924387991279,74.57011335424475,13.0,op_xgbuildup_90;aerial_ratio;interceptions_90,blocks_per_shot;obv_defensive_action_90;ball_recoveries_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,140886,Mustapha Sahd,CODM Meknès,75.92856395929778,64.31510197022874,1.0,op_passes_into_and_touches_inside_box_90;np_shots_90;np_xg_90,goals_90;aerial_ratio;op_xgchain_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,453613,Baba Bello Ilou,Hassania Agadir,66.62200976391712,77.58774958548915,2.0,goals_90;op_passes_into_and_touches_inside_box_90;np_xg_90,op_xgchain_90;aerial_ratio;np_shots_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,138876,Hamza Khaba,FAR Rabat,66.47425015492958,70.34566765148384,3.0,op_passes_into_and_touches_inside_box_90;op_xgchain_90;aerial_wins_90,goals_90;aerial_ratio;np_shots_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,3319,Yacine Bammou,UTS Rabat,61.068254516203794,63.87411591595446,4.0,aerial_wins_90;aerial_ratio;np_shots_90,op_xgchain_90;np_xg_90;goals_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,312936,Hamza Hannouri,Wydad Casablanca,58.76054835869575,71.24557745280185,5.0,goals_90;aerial_wins_90;np_xg_90,np_shots_90;op_xgchain_90;op_passes_into_and_touches_inside_box_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,335508,Paul Valère Bassène,RSB Berkane,55.99167694236434,71.56397305046804,6.0,aerial_ratio;goals_90;op_passes_into_and_touches_inside_box_90,aerial_wins_90;np_shots_90;op_xgchain_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,524001,Nasreddine Moustaghfir,UTS Rabat,53.378000469389896,57.39293684910845,7.0,aerial_wins_90;aerial_ratio;goals_90,np_shots_90;op_xgchain_90;op_passes_into_and_touches_inside_box_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,155705,Soufiane Benjdida,Maghreb Fès,52.75066400365881,61.15652632961428,8.0,goals_90;np_shots_90;np_xg_90,aerial_wins_90;aerial_ratio;op_passes_into_and_touches_inside_box_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,442295,Reda Abardi,Olympique Dcheïra,52.71189778852511,72.22685154385448,9.0,aerial_ratio;np_xg_90;aerial_wins_90,op_passes_into_and_touches_inside_box_90;goals_90;op_xgchain_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,155347,Ayoub Mouloua,FUS Rabat,51.98861374325399,82.1035505076618,10.0,op_xgchain_90;op_passes_into_and_touches_inside_box_90;np_xg_90,aerial_ratio;goals_90;np_shots_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,360406,Imad Khannouss,Olympic Safi,20.9537940655467,72.40857555755403,22.0,op_passes_into_and_touches_inside_box_90;op_xgchain_90;aerial_wins_90,goals_90;aerial_ratio;op_passes_into_and_touches_inside_box_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,524392,Romuald Dacosta,Difaâ El Jadida,23.227557924552748,74.51355313539229,21.0,aerial_wins_90;goals_90;np_xg_90,op_passes_into_and_touches_inside_box_90;np_shots_90;aerial_ratio,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,503286,Mehdi Balouk,US Yacoub El Mansour,29.398930048887927,68.70462065497547,20.0,goals_90;np_xg_90;np_shots_90,aerial_wins_90;aerial_ratio;op_passes_into_and_touches_inside_box_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,477684,Brahim Amzili,Olympique Dcheïra,35.18343448628092,66.55045760963756,19.0,aerial_ratio;aerial_wins_90;op_xgchain_90,np_shots_90;np_xg_90;goals_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,140887,Haytham El Bahja,Ittihad Tanger,38.13800491088261,74.91017216816851,18.0,op_passes_into_and_touches_inside_box_90;np_xg_90;aerial_ratio,aerial_wins_90;goals_90;np_shots_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,38423,Siriki Sanogo,Ittihad Tanger,38.49002372177697,52.08000483046327,17.0,aerial_ratio;aerial_wins_90;np_xg_90,np_xg_90;goals_90;np_shots_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,406860,Abdelaziz El Hamzaoui,Renaissance Zemamra,39.68066401505422,59.470941020743375,16.0,aerial_wins_90;aerial_ratio;op_xgchain_90,np_shots_90;goals_90;np_xg_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,522342,Younes El Bahraoui,KAC Marrakech,39.821111100691645,67.27305373232463,15.0,op_xgchain_90;np_xg_90;goals_90,aerial_ratio;aerial_wins_90;op_passes_into_and_touches_inside_box_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,409301,Jawad Ghabra,Ittihad Tanger,47.78203037222179,79.7529506597678,14.0,op_passes_into_and_touches_inside_box_90;aerial_ratio;aerial_wins_90,goals_90;np_xg_90;op_xgchain_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,139566,Youssef Elfahli,FAR Rabat,48.36876489868084,67.85474423563736,13.0,aerial_ratio;op_xgchain_90;goals_90,np_shots_90;aerial_wins_90;op_passes_into_and_touches_inside_box_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,140867,Ismail Khafi,Raja Casablanca,50.60785206930373,73.35372493244532,11.0,op_passes_into_and_touches_inside_box_90;np_xg_90;aerial_ratio,aerial_wins_90;goals_90;op_xgchain_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CF,143504,Oussama Lamlaoui,RSB Berkane,49.86445433449164,44.61886831967817,12.0,np_xg_90;np_shots_90;goals_90,aerial_wins_90;aerial_ratio;op_xgchain_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,138910,Jamal Ech-Chammakh,FAR Rabat,76.02197127468717,65.53870644361947,1.0,obv_pass_90;obv_dribble_carry_90;op_f3_passes_90,dribble_ratio;box_cross_ratio;key_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,139560,Hamza El Moussaoui,RSB Berkane,67.38879234613674,65.09629885490463,2.0,op_f3_passes_90;key_passes_90;obv_pass_90,counterpressures_90;ball_recoveries_90;box_cross_ratio,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,138927,Saad El Morsli,Olympic Safi,64.22657303802754,64.3505170445505,3.0,obv_dribble_carry_90;counterpressures_90;ball_recoveries_90,dribble_ratio;box_cross_ratio;obv_pass_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,442100,Marouane Ouhrou,Maghreb Fès,60.36154374480873,71.07382118350854,4.0,key_passes_90;obv_dribble_carry_90;op_f3_passes_90,ball_recoveries_90;dribble_ratio;counterpressures_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,523293,Nassim Azzoubairi,US Yacoub El Mansour,58.93028150812842,70.63098178387972,5.0,counterpressures_90;box_cross_ratio;ball_recoveries_90,dribble_ratio;obv_dribble_carry_90;key_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,138956,Anas Bach,FAR Rabat,56.87353653867026,72.07183570990475,6.0,op_f3_passes_90;obv_dribble_carry_90;key_passes_90,counterpressures_90;ball_recoveries_90;obv_pass_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,339278,Chemseddine Knaidil,CODM Meknès,56.86376027080534,73.5559806154701,7.0,box_cross_ratio;counterpressures_90;key_passes_90,ball_recoveries_90;dribble_ratio;obv_pass_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,152015,Zakaria Kiani,Ittihad Tanger,55.62682167678936,79.52835205860542,8.0,key_passes_90;obv_pass_90;ball_recoveries_90,dribble_ratio;obv_dribble_carry_90;box_cross_ratio,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,138949,Ayoub Boucheta,Wydad Casablanca,54.33028768909539,66.35276269709512,9.0,obv_pass_90;counterpressures_90;key_passes_90,ball_recoveries_90;obv_dribble_carry_90;dribble_ratio,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,442286,Oussama Daoui,CODM Meknès,53.23048769173641,68.50180912241417,10.0,box_cross_ratio;dribble_ratio;obv_pass_90,obv_dribble_carry_90;op_f3_passes_90;ball_recoveries_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,523318,Younes El Khafi,Olympique Dcheïra,34.554572962157785,69.47993551902451,23.0,ball_recoveries_90;dribble_ratio;box_cross_ratio,op_f3_passes_90;counterpressures_90;key_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,138945,Mohamed Boulacsout,Raja Casablanca,35.34227332760554,67.78646590447607,22.0,op_f3_passes_90;obv_dribble_carry_90;key_passes_90,ball_recoveries_90;dribble_ratio;counterpressures_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,406864,Hamza Malki,Difaâ El Jadida,38.053301196515775,60.42339758917033,21.0,dribble_ratio;obv_pass_90;ball_recoveries_90,key_passes_90;obv_dribble_carry_90;op_f3_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,261620,Nadir Lougmani,KAC Marrakech,42.10707881510001,73.94150586648503,20.0,counterpressures_90;obv_pass_90;obv_dribble_carry_90,op_f3_passes_90;dribble_ratio;box_cross_ratio,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,81364,Euclides da Silva Cabral,Hassania Agadir,44.70233294772315,75.48214508123259,19.0,box_cross_ratio;obv_dribble_carry_90;counterpressures_90,ball_recoveries_90;op_f3_passes_90;dribble_ratio,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,522352,Hamza Fassoukh,KAC Marrakech,45.07853153108093,67.56957643556584,18.0,counterpressures_90;ball_recoveries_90;dribble_ratio,box_cross_ratio;obv_dribble_carry_90;op_f3_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,313287,Redouane Ait Lemkadem,UTS Rabat,45.12588573811286,70.96998752677366,17.0,counterpressures_90;key_passes_90;dribble_ratio,ball_recoveries_90;obv_dribble_carry_90;op_f3_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,337496,Haytam Manaout,RSB Berkane,47.45234026977532,57.67147372064744,16.0,obv_dribble_carry_90;op_f3_passes_90;dribble_ratio,box_cross_ratio;obv_pass_90;key_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,314451,Houdaifa El Mahasni,FUS Rabat,47.647788343322745,76.12290224767487,15.0,dribble_ratio;ball_recoveries_90;obv_dribble_carry_90,box_cross_ratio;counterpressures_90;key_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,135851,Augusto de Jesus Corte Real Carneiro,FAR Rabat,48.893941350310406,63.64406860540966,14.0,dribble_ratio;obv_pass_90;op_f3_passes_90,counterpressures_90;key_passes_90;obv_dribble_carry_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,140876,Mohamed Moufid,Wydad Casablanca,49.03019453170217,78.55340845150035,13.0,obv_dribble_carry_90;ball_recoveries_90;box_cross_ratio,op_f3_passes_90;dribble_ratio;counterpressures_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
FB,142789,Oussama Soukhane,FUS Rabat,51.84902963564516,66.30632155999976,11.0,key_passes_90;obv_pass_90;box_cross_ratio,ball_recoveries_90;obv_dribble_carry_90;dribble_ratio,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
GK,522350,Mohamed Jemjami,KAC Marrakech,76.92738408650465,65.17253087908117,1.0,obv_pass_90;p_pass_length;pass_length,goals_faced_90;average_x_defensive_action;pass_length,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
GK,362445,Badreddine Abyir,Hassania Agadir,76.7757739977954,79.66342274387802,2.0,obv_pass_90;average_x_defensive_action;p_pass_length,goals_faced_90;pass_length;p_pass_length,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
