player_id,player_name,role,top_positive_contributors,weakest_dimensions,missing_metrics,confidence_reducers,derivation_warnings,why_score_is_research_only,research_only,production_ready
3252,Oussama Haddadi,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138842,Marouane Hadhoudi,CB,defensive_activity;possession_security;progression,defensive_activity;possession_security;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138865,Mouhcine Boumlik,CB,defensive_activity;possession_security;progression,defensive_activity;possession_security;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138871,Karim El Bounagat,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138918,Marwan Louadni,CB,defensive_activity;possession_security;progression,defensive_activity;possession_security;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138957,Youssef Limouri,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138958,Mouad Bahsain,CB,defensive_activity;possession_security;progression,defensive_activity;possession_security;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138998,Abdellah Khafifi,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
139023,Amine Aboulfath,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
139556,Bilal El Ouadghiri,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
140881,Yassine Kordani,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
143160,Anouar Tarkhatt,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
157113,Badr Gaddarine,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
202502,Soulaimane El Amrani,CB,defensive_activity;possession_security;progression,defensive_activity;possession_security;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
313280,André Yassine Madeira El Khalej,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
313283,Tahar Ahmed Madeira El Khalej,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
314452,Zouhair Marour,CB,defensive_activity;possession_security;progression,defensive_activity;possession_security;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
314465,Yassine Amhih,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
314466,Mohamed Saoud,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
332384,Ismail Al Alami,CB,progression;defensive_activity;possession_security,progression;defensive_activity;possession_security,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
338916,Johnstone Omurwa,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
363239,Bilal Soufi,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
407555,James Monday Ajako,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
409303,Faraji Karmoune,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
419744,Driss El Jabali,CB,defensive_activity;possession_security;progression,defensive_activity;possession_security;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
422075,Zakary Lamgahez,CB,defensive_activity;possession_security;progression,defensive_activity;possession_security;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
442093,Yassine Fatine,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
477678,Cheick Keita,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
522354,Akram El Hamdaoui,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
522357,Mohamed Adam Benhita,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
523290,Achraf Zine,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
523317,Ismail Soubai,CB,progression;possession_security;defensive_activity,progression;possession_security;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
524512,Reda Ait Boughima,CB,progression;possession_security;defensive_activity,progression;possession_security;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
3319,Yacine Bammou,CF,pressing;box_presence;link_play,box_presence;link_play;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
5503,Lionel Andrés Messi Cuccittini,CF,link_play;box_presence;shot_threat,box_presence;shot_threat;pressing,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
5726,Khalid Boutaïb,CF,pressing;box_presence;link_play,box_presence;link_play;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
8817,Jhon Andrés Córdoba Copete,CF,box_presence;shot_threat;link_play,shot_threat;link_play;pressing,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
9253,Moussa Koné,CF,shot_threat;box_presence;link_play,box_presence;link_play;pressing,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
20687,Nicolás Iván González,CF,pressing;box_presence;shot_threat,box_presence;shot_threat;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
27158,Luis Fernando Díaz Marulanda,CF,pressing;link_play;box_presence,link_play;box_presence;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
28266,Rafael Santos Borré Maury,CF,pressing;link_play;box_presence,link_play;box_presence;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
29560,Julián Álvarez,CF,pressing;box_presence;shot_threat,box_presence;shot_threat;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
38423,Siriki Sanogo,CF,pressing;link_play;box_presence,link_play;box_presence;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138876,Hamza Khaba,CF,pressing;box_presence;shot_threat,box_presence;shot_threat;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138936,Abderrazak Ennakouss,CF,link_play;pressing;box_presence,pressing;box_presence;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
139004,Zakaria Bahrou,CF,box_presence;shot_threat;pressing,shot_threat;pressing;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
139566,Youssef Elfahli,CF,box_presence;shot_threat;pressing,shot_threat;pressing;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
140867,Ismail Khafi,CF,pressing;link_play;box_presence,link_play;box_presence;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
140886,Mustapha Sahd,CF,box_presence;link_play;pressing,link_play;pressing;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
140887,Haytham El Bahja,CF,pressing;box_presence;shot_threat,box_presence;shot_threat;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
141808,Charki El Bahri,CF,box_presence;link_play;shot_threat,link_play;shot_threat;pressing,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
143504,Oussama Lamlaoui,CF,box_presence;shot_threat;pressing,shot_threat;pressing;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
155347,Ayoub Mouloua,CF,link_play;box_presence;pressing,box_presence;pressing;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
155705,Soufiane Benjdida,CF,pressing;shot_threat;box_presence,shot_threat;box_presence;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
312936,Hamza Hannouri,CF,pressing;link_play;box_presence,link_play;box_presence;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
335508,Paul Valère Bassène,CF,link_play;box_presence;pressing,box_presence;pressing;shot_threat,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
360406,Imad Khannouss,CF,pressing;box_presence;shot_threat,box_presence;shot_threat;link_play,,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
